obs_E(eV),unc_obs_E,ritz_wn(eV),unc_ritz_wn,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""38.70967""","=""0.00012""","=""38.70968""","=""0.00015""","=""10*""","=""""",,"=""[20.96409636464]""","=""59.67378""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""3P""","=""0,1,2""",3,9,,"=""""","=""L1341""",
"=""38.70967""","=""0.00012""","=""38.70956""","=""0.00015""","=""10*""","=""""",,"=""[20.96421885051]""","=""59.67378""","=""1s.2p""","=""3P*""","=""0""","=""2p2""","=""3P""","=""0,1,2""",1,9,,"=""""","=""L1341""",
"=""38.70967""","=""0.00012""","=""38.70969""","=""0.00015""","=""10*""","=""""",,"=""[20.96408688908]""","=""59.67378""","=""1s.2p""","=""3P*""","=""2""","=""2p2""","=""3P""","=""0,1,2""",5,9,,"=""""","=""L1341""",
"=""24.522""","=""0.003""","=""24.52702505""","=""0.00000015""","=""2""","=""""",,"=""[0.00000000]""","=""[24.527025054182]""","=""1s2""","=""1S""","=""0""","=""1s.15p""","=""1P*""","=""1""",1,3,,"=""""","=""L14923""",
"=""24.515""","=""0.003""","=""24.51810159""","=""0.00000015""","=""3""","=""""",,"=""[0.00000000]""","=""[24.518101588364]""","=""1s2""","=""1S""","=""0""","=""1s.14p""","=""1P*""","=""1""",1,3,,"=""""","=""L14923""",
"=""24.508""","=""0.003""","=""24.50704260""","=""0.00000015""","=""4""","=""""",,"=""[0.00000000]""","=""[24.507042603098]""","=""1s2""","=""1S""","=""0""","=""1s.13p""","=""1P*""","=""1""",1,3,,"=""""","=""L14923""",
"=""24.488""","=""0.003""","=""24.49310806""","=""0.00000015""","=""5""","=""""",,"=""[0.00000000]""","=""[24.493108062951]""","=""1s2""","=""1S""","=""0""","=""1s.12p""","=""1P*""","=""1""",1,3,,"=""""","=""L14923""",
"=""24.4757""","=""0.0010""","=""24.47520722""","=""0.00000015""","=""7""","=""""",,"=""[0.00000000]""","=""[24.475207217946]""","=""1s2""","=""1S""","=""0""","=""1s.11p""","=""1P*""","=""1""",1,3,,"=""""","=""L14922""",
"=""24.4506""","=""0.0010""","=""24.45167846""","=""0.00000014""","=""10""","=""1.5929e+07""",AAA,"=""[0.00000000]""","=""[24.451678459372]""","=""1s2""","=""1S""","=""0""","=""1s.10p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L14922""",
"=""24.4203""","=""0.0010""","=""24.41988931""","=""0.00000014""","=""15""","=""2.1826e+07""",AAA,"=""[0.00000000]""","=""[24.419889314325]""","=""1s2""","=""1S""","=""0""","=""1s.9p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L14922""",
"=""24.3761""","=""0.0010""","=""24.37546670""","=""0.00000014""","=""20""","=""3.1031e+07""",AAA,"=""[0.00000000]""","=""[24.375466697350]""","=""1s2""","=""1S""","=""0""","=""1s.8p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L14922""",
"=""24.3121""","=""0.0010""","=""24.31070818""","=""0.00000014""","=""25""","=""4.6224e+07""",AAA,"=""[0.00000000]""","=""[24.31070817873]""","=""1s2""","=""1S""","=""0""","=""1s.7p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L14922""",
"=""""","=""""","=""24.30428920""","=""0.00000014""","=""""","=""1.07e-02""",C,"=""[0.00000000]""","=""[24.30428920147]""","=""1s2""","=""1S""","=""0""","=""1s.7p""","=""3P*""","=""2""",1,5,M2,"=""T5612""","=""""",
"=""24.2124""","=""0.0009""","=""24.21100268""","=""0.00000014""","=""35""","=""7.3174e+07""",AAA,"=""[0.00000000]""","=""[24.21100267716]""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L14922""",
"=""""","=""""","=""24.20924979""","=""0.00000014""","=""""","=""2.6480e+02""",AAA,"=""[0.00000000]""","=""[24.209249793955]""","=""1s2""","=""1S""","=""0""","=""1s.6d""","=""1D""","=""2""",1,5,E2,"=""T7378""","=""""",
"=""""","=""""","=""24.20081545""","=""0.00000014""","=""""","=""1.53e-02""",C,"=""[0.00000000]""","=""[24.20081545451]""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""3P*""","=""2""",1,5,M2,"=""T5612""","=""""",
"=""24.0468""","=""0.0009""","=""24.04580041""","=""0.00000014""","=""50""","=""1.2582e+08""",AAA,"=""[0.00000000]""","=""[24.04580040653]""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L14922""",
"=""""","=""""","=""24.04280341""","=""0.00000014""","=""""","=""4.3136e+02""",AAA,"=""[0.00000000]""","=""[24.042803412125]""","=""1s2""","=""1S""","=""0""","=""1s.5d""","=""1D""","=""2""",1,5,E2,"=""T7378""","=""""",
"=""""","=""""","=""24.02822506""","=""0.00000014""","=""""","=""2.64e-02""",C,"=""[0.00000000]""","=""[24.0282250640]""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""3P*""","=""2""",1,5,M2,"=""T5612""","=""""",
"=""23.7433""","=""0.0009""","=""23.74207007""","=""0.00000014""","=""100""","=""2.4356e+08""",AAA,"=""[0.00000000]""","=""[23.74207006880]""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L14922""",
"=""""","=""""","=""23.73633504""","=""0.00000014""","=""""","=""7.4848e+02""",AAA,"=""[0.00000000]""","=""[23.73633503536]""","=""1s2""","=""1S""","=""0""","=""1s.4d""","=""1D""","=""2""",1,5,E2,"=""T7378""","=""""",
"=""""","=""""","=""23.70789123""","=""0.00000014""","=""""","=""5.2e-02""",C,"=""[0.00000000]""","=""[23.7078912279]""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""3P*""","=""2""",1,5,M2,"=""T5612""","=""""",
