Transition;1000;2000;5000;10 000;15 000;20 000;25 000;30 000
11S-23S;3.09-2;4.95-2;6.82-2;7.24-2;7.22-2;7.16-2;7.10-2;7.03-2
21S;1.60-2;2.36-2;3.31-2;3.83-2;4.08-2;4.26-2;4.39-2;4.49-2
23P;6.37-3;1.01-2;1.71-2;2.44-2;2.92-2;3.30-2;3.61-2;3.84-2
21P;3.02-3;5.29-3;1.05-2;1.63-2;2.09-2;2.52-2;2.91-2;3.24-2
33S;1.82-2;1.87-2;1.82-2;1.81-2;1.88-2;1.95-2;2.00-2;2.03-2
31S;9.36-3;9.42-3;9.18-3;9.62-3;1.06-2;1.16-2;1.23-2;1.28-2
33P;5.86-3;6.19-3;7.01-3;8.40-3;1.01-2;1.17-2;1.30-2;1.38-2
33D;8.94-4;1.67-3;2.34-3;2.60-3;2.80-3;2.93-3;2.99-3;3,01-3
31D;4.49-3;5.05-3;5.19-3;5.42-3;5.93-3;6.41-3;6.75-3;6.95-3
31P;6.56-4;1.10-3;2.25-3;4.24-3;6.74-3;9.21-3;1.13-2;1.29-2
23S-21S;1.01;1.60;2.24;2.40;2.33;2.21;2.09;1.98
23P;3.30;5.59;1.36+1;2.62+1;3.69+1;4.58+1;5.30+;5.86+
21P;3.17-1;4.79-;7.60-;9.71-1;1.06;1.09;1.10;1.09
33S;2.73;2.89;2.67;2.47;2.47;2.54;2.61;2.65
31S;4.81-1;4.99-1;4.62-1;4.03-1;3.67;3.417;3.19;3.01-
33P;1.79;1.84;1.84;1.83;1.90;1.98;2.04;2.07
33D;4.09-;7.45-1;1.37;2.14;2.87;3.51;4.00;4.35
31D;2.42-;2.73-;2.98-;3.16-;3.34-;3.47-1;3.53-;3.53-'
31P;4.34-2;8.14-2;1.42-1;1.69-1;1.80-;1.84-1;1.85-1;1.84-
21S-23P;9.96-;1.22;1.51;1.71;1.76;1.76;1.73;1.68
21P;1.10;2.97;9.16;1.81+;2.53+;3.11+;3.56+;3.89+
33S;8.73-;8.94-1;7.48-1;5.88-;5.01-1;4.44-;4.03-';3.70-
31S;6.20-;6.17-;6.23-1;6.47-1;7.11-1;7.86-1;8.53-;9.03-1
33P;5.90-;6.03-1;6.12-1;5.60-1;5.14-;4.78;4.48-;4.22-
33D;9.61-2;1.67-1;2.79-1;3.56-1;4.08-;4.42;4.60;4.68-
31D;5.29-;6.44-1;8.73-;1.25;1.67;2.06;2.36;2.59
31P;1.14-;1.88-1;2.93-1;3.60-1;4.11-;4.56-;4.90;5.14
23P-21P;1.92;2.60;3.57;4.38;4.64;4.75;4.72;4.72
33S;7.43;7.11;6.25;5.93;6.13;6.44;6.69;6.86
31S;6.51-1;8.04-;1.07;1.06;9.68-;8.91-;8.26-1;7.70-
33P;8.59;1.05+1;1.23+;1.37+;1.53+1;1.68+1;1.81+;1.89+
33D;3.53;5.71;9.81;1.54+;2.13+;2.67+¹;3.10+1;3.42+
31D;1.33;1.50;1.60;1.62;1.67;1.70;1.70;1.68
31P;3.41-;5.22-;7.96-;9.14-1;9.45-;9.47-1;9.33-;9.10-
21P-33S;1.21;1.46;1.38;1.16;1.03;9.37-1;8.677;8.09-
31S;6.55-;7.39-1;8.04-1;8.84-1;1.01;1.14;1.24;1.32
33P;1.55;1.77;1.87;1.76;1.66;1.58;1.50;1.42
33D;5.71-1;8.47;1.24;1.52;1.70;1.80;1.85;1.85
31D;3.23;3.96;5.19;7.23;9.68;1.20+;1.39+1;1.54
31P;6.12-;9.70-1;1.57;2.22;2.90;3.53;4.03;4.41
33S-31S;3.60;4.03;3.68;2.92;2.44;2.12;1.88;1.70
31D;3.11;3.26;3.10;2.78;2.55;2.36;2.20;2.06
31P;5.54-;9.44-;1.40;1.50;1.45;1.38;1.31;1.23
31S-33P;3.36;3.80;3.70;3.20;2.81;2.52;2.28;2.09
33D;4.00-;8.69-1;1.54;1.76;1.77;1.72;1.64;1.56
33P-31D;1.22+;1.27+;1.20+1;1.06+;9.58;8.75;8.06;7.46
31P;2.72;3.71;4.85;5.27;5.26;5.08;4.84;4.58
33D-31D;5.08;8.78;1.19+1;1.32+1;1.37+;1.38+;1.36+;1.32+
31P;1.29;2.64;4.66;5.55;5.75;5.70;5.54;5.33
