Table 1.  Fitting coefficients for the dipole-allowed excitation collision strengths (Eq. (2)).
__________________________________________________________________________

 i    f      A_1        A_2        A_3       A_4         A_5       A_6
__________________________________________________________________________

11S  21P  7.087e-01 -9.347e-02 -1.598e+00  2.986e+00 -1.293e+00  3.086e-01
11S  31P  1.730e-01  2.410e-02 -4.709e-01  7.690e-01 -3.216e-01  8.568e-01
11S  41P  6.923e-02  6.893e-03 -2.079e-01  3.508e-01 -1.497e-01  4.280e-02
21S  21P  3.404e+01  7.267e+01  1.710e+02 -7.033e+02  4.704e+02  1.194e+01
21S  31P  3.336e+00 -1.147e+00 -4.889e+00  2.023e+01 -1.336e+01  1.059e+01
21S  41P  8.826e-01 -3.618e-01 -1.231e+00  5.606e+00 -3.985e+00  5.890e+00
21P  31S  4.604e+00 -2.204e+00 -1.093e+01  3.893e+01 -2.440e+01  5.612e+00
21P  31D  6.255e+01  4.458e+01 -2.409e+02  4.069e+02 -1.955e+02  1.055e+01
21P  41S  5.545e-01 -4.400e-04 -6.360e-01  1.785e+00 -4.656e-01  3.675e+00
21P  41D  7.910e+00  9.449e+00 -4.534e+01  7.295e+01 -3.374e+01  5.963e+00
31S  31P  1.837e+02  5.147e+02 -2.760e+03  4.081e+03 -1.832e+03  2.332e+01
31S  41P  1.517e+01 -3.469e+01  7.918e+01 -6.474e+01  2.026e+01  2.138e+00
31D  31P  2.932e+02  8.061e+02  1.229e+05 -9.222e+05  1.898e+06  1.134e+02
31D  41F  4.145e+02  3.149e+02 -2.065e+03  3.516e+03 -1.650e+03  2.407e+01
31D  41P  3.712e+00  2.713e+00 -5.615e+00  5.290e+00 -2.158e+00  0.000e+00
31P  41S  7.884e+00  1.097e+02 -5.543e+02  1.008e+03 -5.630e+02  3.559e+01
31P  41D  1.629e+02  6.048e+01 -1.055e+03  2.398e+03 -1.390e+03  2.594e+01
41S  41P  6.787e+02  9.856e+02 -1.751e+04 -4.424e+03  2.284e+05  1.876e+01
41D  41F  1.498e+03  3.296e+03  1.250e+04 -2.970e+04  1.501e+04  6.435e+00
41D  41P  1.161e+03  3.649e+03  6.912e+05 -1.081e+07  5.967e+07  1.523e+02
23S  23P  7.696e+01  1.250e+02  4.938e+01 -4.778e+02  3.189e+02  8.157e+00
23S  33P  3.292e+00 -3.594e+00  3.934e+00  1.138e+01 -8.145e+00  3.360e+00
23S  43P  9.700e-01 -4.920e-01  1.629e+00  5.632e-01  4.405e-02  5.963e+00
23P  33S  1.929e+01  4.277e+00 -6.306e+01  1.483e+02 -6.056e+01  8.088e+00
23P  33D  1.414e+02  9.031e+01 -6.238e+02  1.183e+03 -6.424e+02  8.626e+00
23P  43S  2.198e+00  2.445e-01 -4.386e-01 -1.691e+00  7.824e+00  4.614e+00
23P  43D  2.209e+01  2.204e+01 -1.161e+02  2.050e+02 -1.064e+02  5.876e+00
33S  33P  4.881e+02  7.567e+02 -6.376e+03  1.258e+04 -7.062e+03  1.652e+01
33S  43P  7.079e+00 -9.037e-01 -1.830e+00  2.059e+01 -8.431e+00  2.199e+00
33P  33D  9.796e+02  1.371e+03  8.389e+04 -4.649e+05  6.375e+05  4.209e+01
33P  43S  1.233e+02  2.406e+01 -5.256e+02  1.274e+03 -6.444e+02  2.301e+01
33P  43D  3.295e+02  6.359e+01 -1.630e+03  4.159e+03 -2.512e+03  2.522e+01
33D  43F  1.255e+03  8.455e+02 -6.966e+03  1.319e+04 -6.781e+03  2.291e+01
33D  43P  2.639e+01 -8.708e+00  8.497e+01  4.800e+00 -2.920e+01  4.310e+00
43S  43P  3.306e+03 -8.483e+03  2.027e+04 -1.869e+04  6.912e+03  2.733e+00
43P  43D  3.462e+03  8.765e+03  5.011e+05 -6.347e+06  1.989e+07  6.451e+01
43D  43F  2.884e+03  2.423e+04  1.663e+07 -2.552e+08  2.912e+09  5.760e+02
___________________________________________________________________________
