Table 4.  Fitting coefficients for electron-impact single and double 
ionization cross sections (Eq. (9)). 
________________________________________________________________________

 i         A_1        A_2        A_3        A_4        A_5        A_6
________________________________________________________________________

11S     5.857e-01 -4.457e-01  7.680e-01 -2.521e+00  3.317e+00  0.000e+00
23S     2.427e-01 -1.900e-01  3.205e-01  7.631e-01 -8.329e-01 -2.405e-01
21S     3.076e-01 -2.748e-01  4.462e-01 -1.841e-01  1.336e+00 -1.775e+00
23P     2.104e-01 -1.750e-01  2.994e-01  9.493e-01 -4.479e-01 -3.833e-01
21P     2.068e-01 -2.034e-01  5.759e-01 -2.442e-01  1.986e+00 -2.019e+00
33S     1.878e-01 -1.871e-01  1.223e+00 -3.805e+00  8.412e+00 -5.872e+00
31S     1.787e-01 -1.775e-01  7.023e-01 -1.132e+00  3.727e+00 -3.255e+00
33P     2.694e-01 -2.606e-01  6.476e-01 -2.256e+00  5.876e+00 -4.273e+00
33D     8.034e-02 -7.667e-02  8.839e-01 -4.051e+00  1.110e+01 -7.427e+00
31D     9.637e-02 -9.370e-02  1.051e+00 -4.831e+00  1.251e+01 -8.287e+00
31P     1.654e-01 -1.640e-01  3.123e-01 -4.326e-02  1.729e+00 -1.691e+00
43S     9.429e-02 -7.480e-02  8.668e-01 -3.637e+00  8.681e+00 -5.816e+00
41S     1.206e-01 -1.136e-01  7.407e-01 -3.115e+00  7.325e+00 -4.900e+00
43P     2.128e-01 -1.957e-01  4.731e-01 -1.800e+00  3.918e+00 -2.596e+00
43D     2.507e-02 -4.722e-03  1.340e-01  7.719e-01 -4.388e-01  1.245e-01
41D     1.814e-02  1.047e-02  6.380e-02  1.172e+00 -9.804e-01  3.382e-01
43F     6.742e-03  4.431e-02 -8.945e-02  1.335e+00  4.955e-01 -1.073e+00
41F     4.340e-02  1.216e-02  3.506e-01 -1.911e+00  6.694e+00 -4.631e+00
41P     1.807e-01 -1.724e-01  2.448e-01 -6.578e-01  2.026e+00 -1.535e+00
double  1.323e-06  8.208e-03 -6.676e-02  2.978e-01 -1.925e-01  0.000e+00
________________________________________________________________________
