C************************** 786 ******************************************c

Ref. "Photoionization and Electron-Ion Recombination of He I",
     Sultana N. Nahar, New Astronomy 15, 417-426 (2010)

C************************************************************************c


 He I   : Recombination Rate Coefficients (RRC) - State-Specific & Total

          Process: He II  + e  ->  He I  + h\nu



Contents of the file:
---------------------

i) Information of the core (target) states used in the wavefunction

ii) Recombined states and their energies

iii) State-specific RRC: LS State id, BE(Ry), RRC(T) at 81 T(K)-values

iv) Total RRC: sum of state-specific RRC + rest contributions:


--------------------------------------------------------------------------

i) Information of the core (target) states used in the wavefunction
-------------------------------------------------------------------

Explanation of target lines:
---------------------------
Line 1: Z, Ne (number of core electrons), ignore rest of the numbers
Line 2: Ntg = number of target/core states
Lines(=Ntg): columns are - icx (target/core state number), (2S+1), L,
     pi(=0 for even, =1 for odd), E(Ry), Configuration of the core state
These are followed by equivalent electron configurations of recombined ion
--------------------------------------------------------------

 target information:
    2    1    T  9  1
   10
    2    0    0  0.000000E+00  1s              
    2    0    0  0.300000E+01  2s              
    2    1    1  0.300000E+01  2p              
    2    2    0  0.355560E+01  3d              
    2    1    1  0.355560E+01  3p              
    2    0    0  0.355560E+01  3s              
    2    3    1  0.375000E+01  4f              
    2    2    0  0.375000E+01  4d              
    2    1    1  0.375000E+01  4p              
    2    0    0  0.375000E+01  4s              
    1
 1s2                 

---------------------------------------------------------------------

ii) Recombined states and their energies
----------------------------------------
    
Explanation of energy table:
----------------------------
    
e(j) = energy in Ry
    
levelid = encoded state id in format:
    
      SLLpZZNN.nnlf
    
  where for the digit spaces,  
      S=2S+1, LL=L (numerical), p=parity(= 0 even, 1 odd),
      ZZ=Z-1 for valence electron state & =Z for equivalent electron state,
      NN=target/core state number (icx of Table i),
      nn=n-principle Q.N., l=orbital angular momentum (numerical) of outer
      electron, f=identification code (ignore it)
  Ex: 10100501.0310 -> state=1Se ZZ=5 giving (Z=6), icx=1, nl = 3p

stwt = Statistial weight factor of the state

----------------------------------------------------------------------

 zznn,mtot,nlev,nhyd,nmax,lmax =   201  179  179    0   10    9


  energy levels for (e + zznn) =   202

   j      e(j)         levid         stwt


    1  -0.1774E+01  10000200.0000      1.0
    2  -0.3503E+00  30000101.0200      3.0
    3  -0.2890E+00  10000101.0200      1.0
    4  -0.2656E+00  30110101.0210      9.0
    5  -0.2470E+00  10110101.0210      3.0
    6  -0.1373E+00  30000101.0300      3.0
    7  -0.1217E+00  10000101.0300      1.0
    8  -0.1159E+00  30110101.0310      9.0
    9  -0.1113E+00  30200101.0320     15.0
   10  -0.1112E+00  10200101.0320      5.0
   11  -0.1100E+00  10110101.0310      3.0
   12  -0.7300E-01  30000101.0400      3.0
   13  -0.6682E-01  10000101.0400      1.0
   14  -0.6455E-01  30110101.0410      9.0
   15  -0.6257E-01  30200101.0420     15.0
   16  -0.6255E-01  10200101.0420      5.0
   17  -0.6251E-01  10310101.0430      7.0
   18  -0.6251E-01  30310101.0430     21.0
   19  -0.6203E-01  10110101.0410      3.0
   20  -0.4524E-01  30000101.0500      3.0
   21  -0.4218E-01  10000101.0500      1.0
   22  -0.4105E-01  30110101.0510      9.0
   23  -0.4004E-01  30200101.0520     15.0
   24  -0.4003E-01  10200101.0520      5.0
   25  -0.4001E-01  10310101.0530      7.0
   26  -0.4001E-01  30310101.0530     21.0
   27  -0.4000E-01  10400101.0540      9.0
   28  -0.4000E-01  30400101.0540     27.0
   29  -0.3975E-01  10110101.0510      3.0
   30  -0.3075E-01  30000101.0600      3.0
   31  -0.2902E-01  10000101.0600      1.0
   32  -0.2839E-01  30110101.0610      9.0
   33  -0.2780E-01  30200101.0620     15.0
   34  -0.2779E-01  10200101.0620      5.0
   35  -0.2778E-01  10310101.0630      7.0
   36  -0.2778E-01  30310101.0630     21.0
   37  -0.2778E-01  10400101.0640      9.0
   38  -0.2778E-01  30400101.0640     27.0
   39  -0.2778E-01  10510101.0650     11.0
   40  -0.2778E-01  30510101.0650     33.0
   41  -0.2763E-01  10110101.0610      3.0
   42  -0.2225E-01  30000101.0700      3.0
   43  -0.2119E-01  10000101.0700      1.0
   44  -0.2079E-01  30110101.0710      9.0
   45  -0.2042E-01  30200101.0720     15.0
   46  -0.2042E-01  10200101.0720      5.0
