Table 3.  Fitting coefficients for the spin-forbidden excitation 
collision strengths (Eq. (4)).
_______________________________________________________________

 i    f      A_1        A_2        A_3         A_4       A_5
_______________________________________________________________

11S  23P  2.823e-01  2.048e+00  5.287e+00 -7.363e+00  2.728e+01
11S  23S  6.888e-01  1.975e-01  7.232e+00 -4.839e+00  5.003e+01
11S  33D  2.207e-03  8.429e-03  1.816e-01 -1.812e-01  9.544e+00
11S  33P  6.730e-02  5.465e-01 -4.434e-01 -1.042e-01  1.140e+01
11S  33S  9.392e-02 -1.641e-01  7.605e-02 -4.536e-03 -9.246e-01
11S  43D  1.334e-03  1.819e-02 -3.848e-02  1.896e-02 -9.893e-01
11S  43F  0.000e+00  4.079e-04 -3.863e-04  1.701e-05 -9.497e-01
11S  43P  2.585e-02  2.275e-01 -5.827e-02 -1.615e-01  1.505e+01
11S  43S  3.008e-02 -3.956e-02 -1.940e-03  1.154e-02 -9.813e-01
21P  33D  1.702e+01  1.484e+03 -4.593e+02 -8.789e+02  3.229e+02
21P  33P  1.093e+01  8.331e+03  1.929e+04 -1.731e+04  5.540e+03
21P  33S  4.980e+00  4.415e+02  1.002e+03 -8.063e+02  5.626e+02
21P  43D  3.686e+00  1.887e+02 -9.472e+00 -1.471e+02  1.729e+02
21P  43F  8.678e-01  3.062e+01 -3.479e+01  1.127e+01  3.760e+01
21P  43P  2.243e+00  5.624e+02  8.402e+02 -3.634e+02  1.504e+03
21P  43S  6.494e-01  2.526e+01 -1.162e+00  5.160e+01  1.225e+02
21S  23P  5.983e+02 -5.310e+02  3.348e+02 -2.412e+02  2.239e+02
21S  33D  4.042e+00  1.358e+02  8.142e+01 -2.085e+02  1.737e+02
21S  33P  1.382e+00  8.314e+01  2.834e+02 -1.831e+02  3.176e+02
21S  33S  6.648e-01  1.940e+03  6.935e+02  1.447e+03  6.339e+03
21S  43D  9.480e-01  2.121e+01 -7.385e+00 -1.085e+01  7.917e+01
21S  43F  2.338e-01 -6.755e+01  8.613e+03 -8.035e+03  1.772e+04
21S  43P  2.701e-01  1.187e+01  7.598e+00  1.182e+00  1.051e+02
21S  43S  1.236e-01  2.041e+02 -2.538e+02  1.090e+03  3.582e+03
31D  43D  4.743e+01  1.223e+05  2.074e+05 -2.893e+05  1.904e+04
31D  43F  6.314e+01  2.583e+04 -5.741e+03 -1.452e+04  1.536e+03
31D  43P  0.000e+00  3.369e+03  6.115e+03 -5.152e+03  8.638e+02
31D  43S  1.499e+00  1.809e+03  1.005e+03 -6.550e+02  9.339e+02
31P  43D  1.470e+01  5.349e+03  5.281e+03 -9.207e+03  1.556e+03
31P  43F  7.766e+01  1.248e+04  8.902e+03 -2.051e+04  2.003e+03
31P  43P  1.125e+01  1.295e+05  5.808e+04 -8.942e+04  4.622e+04
31P  43S  7.973e+00  5.673e+03  5.417e+03 -6.546e+03  3.901e+03
31S  33D  6.729e+02  6.022e+05 -2.032e+06  1.788e+06  2.709e+04
31S  33P  1.242e+03  1.094e+07 -2.101e+07  1.138e+07  3.429e+05
31S  43D  4.674e+00  2.273e+02  7.469e+02 -8.390e+02  2.907e+02
